filename,dataset,u_E_A,d_latent_A,strain,temp,termination,facet,u_E_B,d_latent_B
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T450_0153.cif,T1,0.008239558710145999,0.23182730021359482,0.0,450,Zr,110,0.002084959306516578,0.1772176241423001
cellrelaxed_LLZO_010_La_order0_off__Li_110_slab_heavy_T450_0060.cif,T1,0.004058415969898488,0.3800784432569738,0.0,450,La,110,0.0018754267002582558,0.26874680711739624
cellrelaxed_LLZO_010_O_order5_off__Li_110_slab_heavy_T450_0175.cif,T1,0.002645758204146383,0.5070239118954971,0.0,450,O,110,0.0011552745685906802,0.38313190571142886
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0088.cif,T1,0.0030902653216288035,0.6045142696695985,0.0,300,Zr,100,0.0013783469782674687,0.48178408959502783
cellrelaxed_LLZO_010_Li_order0_off__Li_100_slab_heavy_T300_0024.cif,T1,0.0036931238772161816,0.5310310303723502,0.0,300,Li,100,0.0016427127250236303,0.4160113545834766
cellrelaxed_LLZO_010_La_order0_off__Li_111_slab_heavy_T300_0024.cif,T1,0.032464077020804484,2.062236085331623,0.0,300,La,111,0.015648574667221186,1.7474593978420683
cellrelaxed_LLZO_010_La_order0_off__Li_100_slab_heavy_T300_0139.cif,T1,0.002967586873599981,0.6337588710831183,0.0,300,La,100,0.0011172311353337986,0.5100433521875951
cellrelaxed_LLZO_011_La_code71_sto__Li_100_slab_heavy_T300_0170.cif,T1,0.0034427244299695308,0.4613877428954298,0.0,300,La,100,0.0017263303739794241,0.33478246920575533
cellrelaxed_LLZO_010_Li_order0_off__Li_110_slab_heavy_T450_0170.cif,T1,0.0028668087211111536,0.4913747852458395,0.0,450,Li,110,0.0012232270433897422,0.36468231307978427
cellrelaxed_LLZO_011_La_code71_sto__Li_100_slab_heavy_T300_0101.cif,T1,0.004751968005689163,0.36429022592672544,0.0,300,La,100,0.0018728222827793543,0.24709678004246982
cellrelaxed_LLZO_001_Zr_code93_sto__Li_111_slab_heavy_T300_0061.cif,T1,0.02786786151032958,1.7851919928164852,0.0,300,Zr,111,0.01314769230959379,1.5245395500575047
cellrelaxed_LLZO_010_La_order0_off__Li_110_slab_heavy_T300_0024.cif,T1,0.004308630691956143,0.3479612528881668,0.0,300,La,110,0.002124522972727413,0.24106588781951682
cellrelaxed_LLZO_010_Li_order0_off__Li_100_slab_heavy_T300_0046.cif,T1,0.0036284527439688335,0.5443731087166819,0.0,300,Li,100,0.0016251410096101138,0.4273312420767562
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0198.cif,T1,0.002768349258388428,0.6224265397337169,0.0,300,Zr,100,0.0013012992170524276,0.496916160932083
