file,num_atoms,energy_chgnet_meV_per_atom,energy_mace_meV_per_atom,delta_E_meV_per_atom,force_mae_meV_per_A,force_rmse_meV_per_A,force_max_abs_meV_per_A
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0006_strain+0.010_perturbed.cif,648,-4277.253150939941,-4269.307104903823,7.946046036118787,11.33144490556822,17.027139433685843,96.6712349316349
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0006_strain+0.015_perturbed.cif,648,-4274.93143081665,-4267.023370075706,7.9080607409441654,11.541380059681329,17.654224520732324,107.41222314006419
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0006_strain-0.010_perturbed.cif,648,-4276.259899139404,-4268.249785899335,8.010113240069586,11.630217207378314,17.186266390095426,94.9608592440949
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0006_strain-0.015_perturbed.cif,648,-4273.238182067871,-4265.180318479345,8.057863588525834,12.3724740846521,18.298645431748056,117.82950399908867
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0007_strain+0.010_perturbed.cif,648,-4277.626037597656,-4269.685627395557,7.940410202098974,11.527101808432194,17.503667554911928,103.66952957122504
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0007_strain+0.015_perturbed.cif,648,-4275.3119468688965,-4267.4026028455255,7.909344023370977,11.383905575615085,17.655569139221395,94.62794830189799
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0007_strain-0.010_perturbed.cif,648,-4276.834964752197,-4268.819963508442,8.01500124375525,11.837088232970785,17.728047048691227,121.7950721525529
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0007_strain-0.015_perturbed.cif,648,-4273.843765258789,-4265.770174733152,8.073590525636973,12.224627635413073,18.517864370270882,129.48037935188995
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0020_strain+0.010_perturbed.cif,648,-4278.839111328125,-4271.011238005519,7.827873322606138,11.544506727363135,18.376916660529606,159.12893897644966
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0020_strain+0.015_perturbed.cif,648,-4276.322841644287,-4268.593783495839,7.72905814844853,11.922811758052395,19.42273047821169,170.9084799495605
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0020_strain-0.010_perturbed.cif,648,-4278.580665588379,-4270.51491901893,8.065746569448493,12.14418896203164,18.903462758364892,132.01579558921162
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0020_strain-0.015_perturbed.cif,648,-4275.738716125488,-4267.609154354881,8.129561770607324,12.548787556854148,19.44409659165591,147.87975097037344
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0024_strain+0.010_perturbed.cif,648,-4278.715133666992,-4270.860060105203,7.8550735617891405,11.44104002465259,17.903565874558677,133.7039932552516
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0024_strain+0.015_perturbed.cif,648,-4276.244163513184,-4268.479378614431,7.764784898752623,11.483727436088074,18.21071079570203,133.40922631143172
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0024_strain-0.010_perturbed.cif,648,-4278.192520141602,-4270.107286451767,8.08523368983424,12.213950759878086,19.327458936765108,244.48530440444387
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0024_strain-0.015_perturbed.cif,648,-4275.137424468994,-4267.003796091793,8.133628377200694,12.986461156729417,20.789719604327043,225.0450927786397
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0025_strain+0.010_perturbed.cif,648,-4278.627872467041,-4270.776454194596,7.851418272444789,11.404994441640481,18.13113408367,137.563956071699
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0025_strain+0.015_perturbed.cif,648,-4276.206970214844,-4268.436293449477,7.7706767653671704,11.048555282902866,17.236009539589524,125.83100271671697
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0025_strain-0.010_perturbed.cif,648,-4277.984142303467,-4269.935017802462,8.049124501004371,12.075544313069921,18.826178209774017,153.1787127697827
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0025_strain-0.015_perturbed.cif,648,-4275.02965927124,-4266.932512369727,8.097146901513042,12.665740460772298,19.932148897497264,164.45950953747945
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0048_strain+0.010_perturbed.cif,648,-4278.265476226807,-4270.394655244246,7.870820982560872,10.832321880573366,16.833855591780264,105.25389403800361
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0048_strain+0.015_perturbed.cif,648,-4275.633811950684,-4267.8420164919335,7.79179545875013,11.403305133563832,18.027559063517433,102.84243756285514
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0048_strain-0.010_perturbed.cif,648,-4278.384685516357,-4270.336529989167,8.04815552719083,11.490575388027848,17.49319846801611,126.21427061340819
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0048_strain-0.015_perturbed.cif,648,-4275.699138641357,-4267.586898721214,8.11223992014311,12.163664604011434,18.529187401587443,105.92044542315062
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0051_strain+0.010_perturbed.cif,648,-4277.421951293945,-4269.642891851639,7.779059442305879,11.273366139186061,17.743666903638456,121.8813872021087
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0051_strain+0.015_perturbed.cif,648,-4274.677276611328,-4266.959383344295,7.717893267033105,11.5870825359837,18.60068360347962,137.763291960556
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0051_strain-0.010_perturbed.cif,648,-4278.017044067383,-4270.0536405184575,7.963403548925271,12.048331796843879,18.870511132751407,149.3856723920997
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0051_strain-0.015_perturbed.cif,648,-4275.415420532227,-4267.3917684174,8.023652114826291,12.795870713368389,19.82622474530773,133.98960922828098
