file,energy_chgnet,energy_mace,delta_E,force_mae,force_rmse,force_max_abs
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0006_strain+0.010_perturbed.cif,-2771.660041809082,-2766.5110039776773,5.149037831404712,0.01133144490556822,0.01702713943368584,0.09667123493163488
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0006_strain+0.015_perturbed.cif,-2770.1555671691895,-2765.0311438090575,5.124423360131914,0.01154138005968133,0.017654224520732325,0.10741222314006418
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0006_strain-0.010_perturbed.cif,-2771.016414642334,-2765.8258612627687,5.1905533795652445,0.011630217207378312,0.017186266390095427,0.09496085924409489
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0006_strain-0.015_perturbed.cif,-2769.0583419799805,-2763.8368463746156,5.2214956053649075,0.012372474084652101,0.018298645431748056,0.11782950399908865
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0007_strain+0.010_perturbed.cif,-2771.9016723632812,-2766.7562865523214,5.145385810959851,0.011527101808432196,0.01750366755491193,0.10366952957122505
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0007_strain+0.015_perturbed.cif,-2770.402141571045,-2765.2768866439,5.1252549271448515,0.011383905575615085,0.017655569139221394,0.094627948301898
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0007_strain-0.010_perturbed.cif,-2771.389057159424,-2766.1953363534703,5.19372080595349,0.011837088232970786,0.017728047048691225,0.12179507215255292
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0007_strain-0.015_perturbed.cif,-2769.4507598876953,-2764.219073227083,5.231686660612468,0.012224627635413073,0.018517864370270882,0.12948037935188994
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0020_strain+0.010_perturbed.cif,-2772.687744140625,-2767.6152822275762,5.072461913048755,0.011544506727363135,0.018376916660529603,0.15912893897644964
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0020_strain+0.015_perturbed.cif,-2771.057201385498,-2766.048771705304,5.00842968019424,0.011922811758052394,0.01942273047821169,0.1709084799495605
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0020_strain-0.010_perturbed.cif,-2772.5202713012695,-2767.293667524267,5.22660377700231,0.01214418896203164,0.018903462758364895,0.13201579558921162
