file,energy_chgnet_meV,energy_mace_meV,delta_E_meV,force_mae_meV_per_A,force_rmse_meV_per_A,force_max_abs_meV_per_A
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0006_strain+0.010_perturbed.cif,-2771660.041809082,-2766511.0039776773,5149.037831404712,11.33144490556822,17.027139433685843,96.6712349316349
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0006_strain+0.015_perturbed.cif,-2770155.5671691895,-2765031.143809058,5124.423360131681,11.541380059681329,17.654224520732324,107.41222314006419
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0006_strain-0.010_perturbed.cif,-2771016.414642334,-2765825.8612627685,5190.553379565477,11.630217207378314,17.186266390095426,94.9608592440949
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0006_strain-0.015_perturbed.cif,-2769058.3419799805,-2763836.8463746156,5221.4956053649075,12.3724740846521,18.298645431748056,117.82950399908867
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0007_strain+0.010_perturbed.cif,-2771901.6723632812,-2766756.286552321,5145.385810960084,11.527101808432194,17.503667554911928,103.66952957122504
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0007_strain+0.015_perturbed.cif,-2770402.141571045,-2765276.8866439,5125.2549271448515,11.383905575615085,17.655569139221395,94.62794830189799
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0007_strain-0.010_perturbed.cif,-2771389.057159424,-2766195.3363534706,5193.720805953257,11.837088232970785,17.728047048691227,121.7950721525529
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0007_strain-0.015_perturbed.cif,-2769450.7598876953,-2764219.073227083,5231.686660612468,12.224627635413073,18.517864370270882,129.48037935188995
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0020_strain+0.010_perturbed.cif,-2772687.744140625,-2767615.2822275762,5072.461913048755,11.544506727363135,18.376916660529606,159.12893897644966
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0020_strain+0.015_perturbed.cif,-2771057.201385498,-2766048.771705304,5008.42968019424,11.922811758052395,19.42273047821169,170.9084799495605
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0020_strain-0.010_perturbed.cif,-2772520.2713012695,-2767293.667524267,5226.603777002543,12.14418896203164,18.903462758364892,132.01579558921162
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0020_strain-0.015_perturbed.cif,-2770678.6880493164,-2765410.7320219628,5267.956027353648,12.548787556854148,19.44409659165591,147.87975097037344
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0024_strain+0.010_perturbed.cif,-2772607.406616211,-2767517.318948172,5090.087668038905,11.44104002465259,17.903565874558677,133.7039932552516
