file,num_atoms,energy_chgnet_meV_per_atom,energy_mace_meV_per_atom,delta_E_meV_per_atom,force_mae_meV_per_A,force_rmse_meV_per_A,force_max_abs_meV_per_A
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T300_0004_strain+0.010_perturbed.cif,900,-3105.0119400024414,-3098.2100326786167,6.801907323824707,40.967699909787676,57.56029799139081,326.1644296915366
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T300_0004_strain+0.015_perturbed.cif,900,-3109.7159385681152,-3102.8095447828596,6.906393785255659,41.94364364042613,58.53730265572008,306.54892675145743
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T300_0004_strain-0.010_perturbed.cif,900,-3074.6285915374756,-3067.9399878471545,6.688603690321088,47.068536080456916,66.49330319024624,381.5577451372525
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T300_0004_strain-0.015_perturbed.cif,900,-3063.967704772949,-3057.1749184110863,6.792786361862909,50.366249153273756,71.87174673352598,476.4256715201366
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T300_0017_strain+0.010_perturbed.cif,900,-3150.233507156372,-3139.283726137461,10.949781018910926,42.5540907499769,60.96980393996854,372.2047376972208
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T300_0017_strain+0.015_perturbed.cif,900,-3154.3896198272705,-3143.2934065245595,11.096213302711021,42.04859030607724,59.325878997196654,330.2829244445112
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T300_0017_strain-0.010_perturbed.cif,900,-3120.2080249786377,-3110.1972103645353,10.0108146141024,47.505019081090666,68.52268971725832,440.3527044156921
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T300_0017_strain-0.015_perturbed.cif,900,-3108.539819717407,-3098.9436392247767,9.596180492630538,50.07559502339607,73.21181111712876,447.5701255482571
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T300_0036_strain+0.010_perturbed.cif,900,-3193.6378479003906,-3180.6958017273832,12.942046173007384,38.95768403120449,55.70120270835951,254.53437413120855
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T300_0036_strain+0.015_perturbed.cif,900,-3197.3280906677246,-3184.393058468995,12.93503219872946,39.003405343181846,55.61908746406581,238.78000337967484
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T300_0036_strain-0.010_perturbed.cif,900,-3165.205240249634,-3152.6569607893985,12.548279460235335,44.835579209102086,65.19020692648277,457.4342206575675
